velocity,mean_velocity,std_velocity,max_velocity,min_velocity
-0.8146767,-0.6854508,0.087994605,-0.5077881,-0.8280718
-0.8280718,-0.68113714,0.08683292,-0.5077881,-0.8280718
-0.77479076,-0.67601424,0.08555977,-0.5077881,-0.82481074
-0.6500036,-0.6721318,0.08539361,-0.5077881,-0.82481074
-0.5403031,-0.67308617,0.08540761,-0.5077881,-0.82481074
-0.56048673,-0.6782393,0.085012615,-0.5077881,-0.82481074
-0.642108,-0.6860759,0.09160116,-0.5077881,-0.9523154
-0.72359246,-0.69367355,0.10271902,-0.5077881,-1.0219934
-0.7145686,-0.69882673,0.11027605,-0.5077881,-1.0219934
-0.6744462,-0.7024885,0.113723665,-0.5077881,-1.0219934
-0.5994813,-0.70330995,0.113666475,-0.5077881,-1.0219934
-0.6103406,-0.7053362,0.1126964,-0.5077881,-1.0219934
-0.6974628,-0.70743734,0.1118821,-0.5077881,-1.0219934
-0.77963,-0.7089782,0.11226404,-0.5077881,-1.0219934
-0.78759867,-0.7099329,0.11306102,-0.5077881,-1.0219934
-0.7626825,-0.709973,0.11308882,-0.5077881,-1.0219934
-0.69121206,-0.708986,0.112839565,-0.5077881,-1.0219934
-0.5554541,-0.70713234,0.113872826,-0.5077881,-1.0219934
-0.5633804,-0.70751214,0.1133971,-0.5077881,-1.0219934
-0.61512554,-0.7088313,0.112088814,-0.5077881,-1.0219934
-0.7020346,-0.7107495,0.11128659,-0.5077881,-1.0219934
-0.73229444,-0.7129019,0.1121347,-0.5077881,-1.0219934
-0.6983397,-0.7163385,0.1152657,-0.5077881,-1.0219934
-0.64162046,-0.71979547,0.117249034,-0.5077881,-1.0219934
-0.58412606,-0.72278535,0.11712345,-0.5077881,-1.0219934
-0.6083814,-0.7247436,0.115597345,-0.5077881,-1.0219934
-0.702168,-0.72406244,0.11637881,-0.5077881,-1.0219934
-0.78632796,-0.7205928,0.1195234,-0.5077881,-1.0219934
-0.7833747,-0.716198,0.12105549,-0.5077881,-1.0219934
-0.71232945,-0.7143129,0.12072817,-0.5077881,-1.0219934
-0.6140093,-0.71571624,0.12110421,-0.5077881,-1.0219934
-0.5688681,-0.7190991,0.120577134,-0.5077881,-1.0219934
-0.6014541,-0.7232865,0.11891122,-0.5077881,-1.0219934
-0.70545673,-0.7256287,0.11763493,-0.5077881,-1.0219934
-0.82481074,-0.72402906,0.118439406,-0.5077881,-1.0219934
-0.82094234,-0.7199568,0.118404664,-0.5077881,-1.0219934
-0.81359494,-0.71676683,0.11778792,-0.5077881,-1.0219934
-0.72497493,-0.7156363,0.11712257,-0.5077881,-1.0219934
-0.73085463,-0.71784896,0.11831696,-0.5077881,-1.0219934
-0.7401545,-0.7196633,0.119194716,-0.5077881,-1.0219934
-0.7820781,-0.71954554,0.119177334,-0.5077881,-1.0219934
-0.7288382,-0.7157704,0.120122515,-0.5077881,-1.0219934
-0.6478811,-0.71247184,0.12196875,-0.5077881,-1.0219934
-0.51683813,-0.71133536,0.12282703,-0.5077881,-1.0219934
-0.5077881,-0.7148435,0.11968657,-0.5077881,-1.0219934
-0.55470246,-0.72096413,0.11672999,-0.5286854,-1.0219934
-0.68398255,-0.72699785,0.11577308,-0.5286854,-1.0219934
